version,name,release_date
1.0,Welcome to Teyvat,2020-09-28
1.1,A New Star Approaches,2020-11-11
1.2,The Chalk Prince and the Dragon,2020-12-23
1.3,All That Glitters,2021-02-03
1.4,Invitation of Windblume,2021-03-17
1.5,Beneath the Light of Jadeite,2021-04-28
1.6,Midsummer Island Adventure,2021-06-09
2.0,The Immovable God and the Eternal Euthymia,2021-07-21
2.1,Floating World Under the Moonlight,2021-09-01
2.2,Into the Perilous Labyrinth of Fog,2021-10-13
2.3,Shadows Amidst Snowstorms,2021-11-24
2.4,Fleeting Colors in Flight,2022-01-05
2.5,When the Sakura Bloom,2022-02-16
2.6,Zephyr of the Violet Garden,2022-03-30
2.7,Hidden Dreams in the Depths,2022-05-31
2.8,Summer Fantasia,2022-07-13
3.0,The Morn a Thousand Roses Brings,2022-08-24
3.1,King Deshret and the Three Magi,2022-09-28
3.2,"Akasha Pulses, the Kalpa Flame Rises",2022-11-02
3.3,"All Senses Clear, All Existence Void",2022-12-07
3.4,The Exquisite Night Chimes,2023-01-18
3.5,Windblume's Breath,2023-03-01
3.6,A Parade of Providence,2023-04-12
3.7,Duel! The Summoners' Summit!,2023-05-24
3.8,Secret Summer Paradise,2023-07-05
4.0,As Light Rain Falls Without Reason,2023-08-16
4.1,To the Stars Shining in the Depths,2023-09-27
4.2,Masquerade of the Guilty,2023-11-08
4.3,Roses and Muskets,2023-12-20
4.4,Vibrant Harriers Aloft in Spring Breeze,2024-01-31
4.5,Blades Weaving Betwixt Brocade,2024-03-13
4.6,"Two Worlds Aflame, the Crimson Night Fades",2024-04-24
4.7,An Everlasting Dream Intertwined,2024-06-05
4.8,Summertide Scales and Tales,2024-07-17
5.0,,2024-08-28
5.1,,2024-10-09
5.2,,2024-11-20
5.3,,2025-01-01
